## Санкционированный Псайкер [Sanctioned Psyker]
*Вы родились с проклятием: ваш разум открыт для Имматериума. Вы пережили Черные Корабли Инквизиции, прошли ужасающие тесты Схоластики Псайка и получили Санкционирование. Ваш разум скован печатями, но вы все еще можете черпать силу Варпа.*

* **Владение навыками:** Магия, Запугивание.
* **Владение инструментами:** Инструменты алхимика.
* **Языки:** Один экзотический (Высокий Готик или язык демонов - если разрешено Мастером).
* **Снаряжение:** Роба Схоластики Псайка, фокусный кристалл или посох, клеймо Санкционирования (жетон или шрам), 10 ак.

### Специализация
| к6 | Психическая дисциплина (склонность) |
|:--:|:---|
| 1 | Телепат (чтение мыслей) |
| 2 | Биомант (влияние на плоть) |
| 3 | Пиромант (управление огнем) |
| 4 | Телекинетик (манипуляция объектами) |
| 5 | Дивинатор (провидец) |
| 6 | Демонолог-радикал (скрытый) |

### Умение: Шепот Варпа
Вы чувствуете психические возмущения. Вы интуитивно ощущаете, когда в помещении недавно использовалась магия (психосилы), происходил прорыв демонов или обитает сущность с сильной аурой. Однако обычные люди инстинктивно чувствуют себя неуютно в вашем присутствии, что делает вас изгоем в обычной толпе.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я часто бормочу под нос, споря с голосами в моей голове. |
| 2 | Я смотрю сквозь людей, фокусируясь на их аурах. |
| 3 | У меня часто идет кровь из носа, когда я нервничаю. |
| 4 | Я извиняюсь за каждое свое действие, боясь спровоцировать окружающих. |
| 5 | Я смотрю на обычных "слепых" людей с едва скрываемым превосходством. |
| 6 | Я постоянно трогаю свои обереги и печати чистоты. |

| к6 | Идеал |
|:--:|:---|
| 1 | **Долг.** Мой дар принадлежит Императору. (Законный) |
| 2 | **Контроль.** Дисциплина разума — единственное, что сдерживает Варп. (Законный) |
| 3 | **Могущество.** Я стану сильнейшим псайкером в секторе. (Злой) |
| 4 | **Защита.** Я использую свое проклятие, чтобы спасать других. (Добрый) |
| 5 | **Свобода.** Я ненавижу Черные Корабли и хочу разрушить эту систему. (Хаотичный) |
| 6 | **Знание.** Имматериум — это книга, которую я хочу прочесть. (Нейтральный) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Я благодарен Инквизитору, который спас меня от казни. |
| 2 | Я ищу свою семью, у которой меня забрали Черные Корабли. |
| 3 | Мой наставник в Схоластике пожертвовал собой, чтобы остановить демона во мне. |
| 4 | Я привязан к своему "надзирателю" (комиссару или аколиту), который держит пистолет у моего затылка. |
| 5 | Я должен найти и уничтожить несанкционированного псайкера, моего брата. |
| 6 | Мои психические фокусы (кристаллы/карты) — моя единственная ценность. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я панически боюсь демонов и могу впасть в ступор при встрече с ними. |
| 2 | Когда я злюсь, вокруг меня начинают летать мелкие предметы и падать температура. |
| 3 | Я слишком самонадеян и часто черпаю слишком много энергии Варпа. |
| 4 | Я страдаю от сильных мигреней, которые делают меня раздражительным. |
| 5 | Я никому не доверяю, так как знаю, о чем люди думают на самом деле. |
| 6 | Я тайно слушаю "голоса", которые иногда предлагают мне легкие решения. |
