# Снаряжение: Медицина, стимуляторы и наркотики

*В сороковом тысячелетии грань между исцелением, стимуляцией боевых качеств и разрушительной зависимостью тонка как лезвие силового меча. Полевая хирургия Адептус Механикус и Апотекарионов соседствует с подпольной алхимией банд Подулья и боевой химией Имперской Гвардии.*

### Правила применения и Наркотическая зависимость

Вся боевая химия, за исключением стандартных медицинских средств (таких как Медпакет СПО или Лечебный стимулятор), несет в себе риск повреждения разума и тела.

#### Медицинская помощь и Лечение (Полевая Хирургия)
* **Проверка Медицины.** Персонаж может потратить Действие, чтобы перевязать раны нестабилизированного существа при помощи *Медпакета СПО*, без него проверки для Мудрости (Медицина) для стабилизации существ совершаются с помехой. Он совершает проверку **Мудрости (Медицина Сл 10)**. При успехе цель стабилизируется. Если проверка совершена со **Сл 15 или выше**, цель восстанавливает 1 хит и немедленно приходит в сознание.
* **Стимуляторы на ходу.** Введение любого инъектора (стимулятора или наркотика) себе или недееспособному существу в пределах 5 футов занимает **Бонусное действие**.

#### Эффект Передозировки и Токсичности
Если существо вводит себе более одного боевого стимулятора или наркотика (включая разные типы) до окончания своего следующего **короткого отдыха**, оно должно немедленно совершить **спасбросок Телосложения (Сл 12 + количество активных препаратов)**. 
* **При провале:** Существо мгновенно получает состояние **отравлен** на 1 час (игнорируя расовые иммунитеты, если это наркотик класса *Ксенос* или *Варп*), а также получает 2d6 некротического урона от химического ожога внутренних органов.

#### Наркотическая зависимость (Абстиненция)
Каждый раз, когда существо принимает препарат со свойством *Наркотик* после окончания действия эффекта, оно должно совершить **спасбросок Мудрости (Сл 13)**.
* **При провале:** Существо получает состояние **зависимость**. Пока существо находится под этим эффектом и не принимает данный препарат хотя бы один раз в сутки, оно совершает все проверки характеристик и броски атаки с **помехой** из-за жесткой абстиненции (ломки). 
* **Излечение:** Зависимость можно снять во время *продолжительного отдыха*, если успешно совершить проверку **Мудрости (Медицина Сл 16)** при условии, что другой персонаж использует *Медпакет СПО*, либо путем полного воздержания в течение 1d4 (минимум 2) дней (персонаж проводит эти дни с помехами на все броски).

### Таблица медицинского снаряжения и препаратов

| Название | Стоимость | Вес | Категория | Эффект | Описание |
|:---|:---:|:---:|:---:|:---:|:---|
| ***1. Медицинские средства (Безопасные)*** | | | | | |
| **Медпакет СПО** | 15 ак. | 2 фнт. | Инструмент | Позволяет стабилизировать раненых. Содержит 5 зарядов бинтов и антисептиков. | *Инструмент полевого медика, включающий кровоостанавливающие жгуты, простейшие антибиотики и стерильные салфетки.* |
| **Лечебный стимулятор** | 5 кр. | 0.5 фнт. | Медицина | Инъектор. Восстанавливает 4d4 + 4 хитов. Снимает состояние ошеломления. | *Шприц-тюбик с прозрачной химической смесью, стимулирующей тромбоциты и деление клеток.* |
| **Боевой мед-стимулятор** | 15 кр. | 0.5 фнт. | Медицина | Инъектор. Восстанавливает 8d4 + 8 хитов. | *Военная модификация для штурмовых подразделений Гвардии.* |
| **Освященный Нартэциум** | 60 кр. | 1 фнт. | Медицина | Эликсир. Восстанавливает хиты до половины от максимума персонажа. Доступен только Апотекариям и (выдержат его дейсвтие только Астартес.)[Если Нартэциум вводится обычному человеку (не Астартес), тот должен пройти спасбросок Телосложения (Сл 18). При провале человек мгновенно падает без сознания (0 хитов) от болевого шока из-за перестройки метаболизма, при успехе — восстанавливает хиты, но получает 2 степени Истощения.] | *Густой, мерцающий состав, созданный на основе генокода Примархов. Используется исключительно медицинскими системами космодесантников.* |
| **«Детранкс»** | 5 кр. | 0.1 фнт. | Медицина | Немедленно прекращает действие любого *наркотика* или *стимулятора*. Не излечивает от *зависимости*, но убирает состояние ломки на 8 часов. | *Противохимический реагент широкого спектра, используемый арбитрами и медиками для отрезвления допрашиваемых.* |
| **Синтетическая кожа** | 12 кр. | 2 фнт. | Медицина | Аэрозоль (3 применения). Дает +1 к Классу доспеха на 1 час. | *Баллон под давлением, распыляющий быстроотвердевающий полимер прямо на рваные раны.* |
| ***2. Боевые стимуляторы (Риск передозировки: -2 к проверкам против зависимости)*** | | | | | |
| **«Френзон»** | 8 кр. | 0.1 фнт. | Стимулятор | После употребления этого стимулятора вы получаете иммунитет к состоянию *испуган*, преимущество на *спасброски Силы* и *Телосложения* и впадаете в состояние (безумие)[В начале каждого своего хода вы обязаны выбрать ближайшее существо в пределах видимости. Вы должны переместиться к нему и совершить по нему атаку ближнего боя, если это возможно. Если в пределах досягаемости нет врагов, вы обязаны атаковать ближайшее к вам существо. Вы можете совершить спасбросок Мудрости (Сл 14) в конце каждого своего хода, чтобы досрочно завершить действие препарата.] на 1 минуту. **Откат:** Требуется совершить спасбросок Телосложения (Сл 14), инчае получите 1 степень Истощения. | *Жуткий состав, принудительно впрыскиваемый штрафным легионам и фанатикам Экклезиархии для отключения инстинкта самосохранения.* |
| **«Стимм»** | 4 кр. | 0.1 фнт. | Стимулятор | Игнорирует эффекты *истощения* на 1 час. Дарует +10 футов к скорости. **Откат:** Вы должны совершить спасбросок Телосложения (Сл 16), иначе получаете 1 степень Истощения. | *Популярный в Имперской Гвардии коктейль из адреналина и амфетаминовых соединений.* |
| ***3. Наркотики Подулья (Высокий риск зависимости: -4 к проверкам против зависимости)*** | | | | | |
| **«Слаб» / «Слаг»** | 3 ак. | 0.1 фнт. | Наркотик | На 1 час снижает получаемый урон на 4, но скорость передвижения падает на 10 футов, а инициатива уменьшается на -5. | *Дешевая, грязно-зеленая жижа, производимая из отходов переработки прометия. Популярна среди чернорабочих мануфакторий.* |
| **«Обскура»** | 15 кр. | 0.2 фнт. | Наркотик | Иммунитет к *очарованию* и психическому урону на 1 час. Любые проверки Интеллекта или Мудрости (Восприятие) совершаются с помехой. **Откат:** (Депрессия)[Все броски атаки совершаются с помехой, если в пределах 15 футов нет союзников, способных его успокоить.] на 1d4 час. | *Самый контрабандный наркотик в Империуме. Позволяет на время забыть об ужасах 41-го тысячелетия.* |
