## Послушник Адептус Механикус [Tech-Adept]
*Плоть слаба. Вы поняли это, когда вступили в ряды служителей Бога-Машины. Вы прошли начальные ритуалы аугментации и посвятили себя изучению технологий, благословению духов машин и обслуживанию священных когитаторов.*

* **Владение навыками:** Анализ, Магия.
* **Владение инструментами:** Инструменты ремесленника (жестянщика), Инструменты кузнеца.
* **Снаряжение:** Священный символ в виде шестерни, красная роба адепта, пузырек со священным маслом, набор благовоний, 15 ак.

### Специализация
| к6 | Ветвь служения |
|:--:|:---|
| 1 | Лекс-механик (работа с данными) |
| 2 | Рун-жрец (настройка когитаторов) |
| 3 | Надсмотрщик сервиторов |
| 4 | Магос-биологис (ученик, медицина/генетика) |
| 5 | Эксплоратор-аколит (поиск реликвий) |
| 6 | Техновидец (обслуживание оружия и брони) |

### Умение: Бинарный диалект (Техно-лингвистика)
Вы можете общаться на бинарном коде с другими техножрецами, сервиторами и духами машин. Это позволяет вам получать базовую информацию от терминалов, когитаторов и машин (например, "когда открывалась эта дверь" или "какие повреждения у двигателя"), а также обеспечивает уважение среди адептов Культа Механикус.

### Персонализация
| к6 | Черта характера |
|:--:|:---|
| 1 | Я считаю эмоции признаком неэффективности органики. |
| 2 | Я разговариваю с машинами и инструментами, успокаивая их духов. |
| 3 | Я постоянно рассчитываю вероятности вслух. |
| 4 | Я брезгую прикасаться к чужой плоти. |
| 5 | Я восхищаюсь любыми, даже самыми простыми, механизмами. |
| 6 | Я говорю ровным, металлическим голосом, лишенным интонаций. |

| к6 | Идеал |
|:--:|:---|
| 1 | **Знание.** Поиск утерянных СШК — высшая цель. (Нейтральный) |
| 2 | **Логика.** Все действия должны быть строго обоснованы. (Законный) |
| 3 | **Совершенство.** Замена плоти металлом — путь к божественному. (Законный) |
| 4 | **Чистота.** Изучение ксено-теха или ИИ — ересь, подлежащая уничтожению. (Добрый/Законный) |
| 5 | **Жадность.** Технологии должны принадлежать мне. (Злой) |
| 6 | **Любопытство.** Я должен разобрать это, чтобы понять, как оно работает. (Хаотичный) |

| к6 | Привязанность |
|:--:|:---|
| 1 | Мой наставник в Мире-Кузне вложил в меня много знаний, я служу ему. |
| 2 | Я ищу конкретный фрагмент утерянной технологии. |
| 3 | Мой аугментированный глаз/рука содержит данные, которые нельзя стереть. |
| 4 | Я привязан к конкретному древнему кораблю или машине, как к другу. |
| 5 | Я должен доказать своему ордену, что мои радикальные теории верны. |
| 6 | Я защищаю определенного человека, потому что вычислил его важность для истории. |

| к6 | Слабость |
|:--:|:---|
| 1 | Я могу пожертвовать союзниками ради спасения редкой технологии. |
| 2 | Я впадаю в ступор, когда сталкиваюсь с нелогичным поведением людей. |
| 3 | Я не умею лгать — мой вокализатор не запрограммирован на обман. |
| 4 | Я тайно изучаю запрещенные ксено-технологии. |
| 5 | Если машина повреждена, я сначала лечу её, а потом уже живых людей. |
| 6 | Без регулярного обслуживания мои протезы причиняют мне боль. |
